gameId,characterNum,bestWeapon,routeId,mmrBefore,mmrGain,gameRank,equipment
65680950,73,24,4109,8522,32,3,"{""0"": 130403, ""1"": 202404, ""2"": 201409, ""3"": 203411, ""4"": 204406}"
65680950,22,3,16294,8639,44,3,"{""0"": 108502, ""1"": 202422, ""2"": 201537, ""3"": 705607, ""4"": 204403}"
65680265,15,6,50,8776,-23,4,"{""0"": 113412, ""1"": 202209, ""2"": 201503, ""3"": 203507, ""4"": 204415}"
65680265,13,19,0,8774,76,2,"{""0"": 107405, ""1"": 202415, ""2"": 201415, ""3"": 705601, ""4"": 204506}"
65680265,27,9,0,8670,-23,4,"{""0"": 116405, ""3"": 203513, ""4"": 204417}"
65680265,79,8,0,8726,4,3,"{""0"": 115504, ""1"": 202209, ""2"": 201503, ""3"": 205507, ""4"": 204414}"
65680265,78,16,0,8616,155,1,"{""0"": 102412, ""1"": 202505, ""2"": 201529, ""3"": 205407, ""4"": 204502}"
65680265,7,2,22622,8932,2,3,"{""0"": 111501, ""1"": 202503, ""2"": 205503, ""3"": 203403, ""4"": 204410}"
65680265,79,8,8007,10954,-48,6,"{""0"": 115504, ""1"": 202501, ""2"": 201503, ""3"": 203510, ""4"": 204414}"
65680265,26,9,8065,8900,-49,5,"{""0"": 116403, ""1"": 202501, ""2"": 705620, ""3"": 203501, ""4"": 204304}"
65680265,34,23,14299,9331,151,1,"{""0"": 122502, ""1"": 202508, ""2"": 201503, ""3"": 203512, ""4"": 204410}"
65680265,1,18,0,9096,74,2,"{""0"": 103402, ""1"": 202505, ""2"": 201535, ""3"": 203408, ""4"": 204501}"
65680265,37,15,0,8670,76,2,"{""0"": 101502, ""1"": 202515, ""2"": 201408, ""3"": 203514, ""4"": 204504}"
65680265,80,19,18582,8820,4,3,"{""0"": 107501, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204414}"
65680265,18,15,17991,8742,-54,7,"{""0"": 101501, ""1"": 202307, ""2"": 201526, ""3"": 203507, ""4"": 204506}"
65680265,47,4,14761,9041,-25,4,"{""0"": 109406, ""1"": 202501, ""2"": 201526, ""3"": 203413, ""4"": 204410}"
65680265,65,16,0,8818,-54,7,"{""0"": 102504, ""1"": 202524, ""2"": 201406, ""3"": 203404, ""4"": 204403}"
65680265,55,14,48589,9195,-64,8,"{""0"": 105404, ""1"": 202104, ""2"": 201413, ""3"": 705619, ""4"": 204415}"
65680265,65,16,0,8681,155,1,"{""0"": 102409, ""1"": 202531, ""2"": 201532, ""3"": 203404, ""4"": 204501}"
65680265,72,11,0,8658,-60,8,"{""0"": 118406, ""1"": 202420, ""2"": 201421, ""3"": 205501, ""4"": 204408}"
65680265,61,5,47840,8962,-49,5,"{""0"": 112302, ""1"": 202412, ""2"": 201423, ""3"": 705619, ""4"": 204512}"
65680265,90,11,0,8750,-60,8,"{""0"": 118405, ""1"": 202419, ""2"": 201422, ""3"": 705619, ""4"": 204419}"
65680265,44,25,9436,8686,-47,5,"{""0"": 131402, ""1"": 202421, ""2"": 201537, ""3"": 705607, ""4"": 204303}"
65680265,22,3,25555,8929,-56,7,"{""0"": 104407, ""1"": 202515, ""2"": 201502, ""3"": 705614, ""4"": 204418}"
65680265,38,9,0,8615,-30,6,"{""0"": 116503, ""1"": 202503, ""2"": 201505, ""3"": 203413, ""4"": 204503}"
65680265,73,24,1800,8581,-28,6,"{""0"": 130403, ""1"": 202516, ""2"": 201536, ""3"": 205601, ""4"": 204501}"
65679601,15,6,50,8789,-13,2,"{""0"": 113702, ""1"": 202511, ""2"": 201503, ""3"": 203507, ""4"": 204513}"
65679601,11,18,0,8638,-22,5,"{""0"": 103506, ""1"": 202512, ""2"": 201530, ""3"": 205401, ""4"": 204507}"
65679601,79,8,0,8773,-47,4,"{""0"": 115504, ""1"": 202511, ""2"": 201503, ""3"": 203510, ""4"": 204414}"
65679601,7,2,22622,8924,8,3,"{""0"": 111501, ""1"": 202503, ""2"": 201411, ""3"": 205507, ""4"": 204410}"
65679601,21,9,0,9332,-51,4,"{""0"": 116410, ""1"": 202529, ""2"": 201518, ""3"": 203502, ""4"": 204507}"
65679601,3,21,11248,8702,-37,6,"{""0"": 120504, ""1"": 202419, ""2"": 201526, ""3"": 205406, ""4"": 204406}"
65679601,90,11,0,10844,110,1,"{""0"": 118702, ""1"": 202508, ""2"": 201503, ""3"": 205505, ""4"": 204513}"
65679601,26,9,8065,8973,-56,7,"{""0"": 116409, ""1"": 202419, ""2"": 201409, ""3"": 203410, ""4"": 204304}"
65679601,1,18,27322,9088,8,3,"{""0"": 103503, ""1"": 202505, ""2"": 201535, ""3"": 203408, ""4"": 204402}"
65679601,44,25,23499,9018,-39,6,"{""0"": 131507, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204304}"
65679601,66,24,0,9195,-26,5,"{""0"": 130504, ""1"": 202508, ""2"": 201503, ""3"": 205508, ""4"": 204406}"
65679601,35,1,16853,8660,10,3,"{""0"": 110405, ""1"": 202521, ""2"": 201527, ""3"": 203503, ""4"": 204514}"
65679601,76,3,1699,8509,128,1,"{""0"": 104405, ""1"": 202522, ""2"": 201508, ""3"": 205601, ""4"": 204512}"
65679601,55,14,48589,9212,-17,2,"{""0"": 105503, ""1"": 202503, ""2"": 201520, ""3"": 705619, ""4"": 204506}"
65679601,3,16,0,8816,-22,5,"{""0"": 102502, ""1"": 202501, ""2"": 201526, ""3"": 705619, ""4"": 204419}"
65679601,33,1,33722,8598,-45,4,"{""0"": 110504, ""1"": 202104, ""2"": 201422, ""3"": 705619, ""4"": 204512}"
65679601,61,5,47840,9039,-56,7,"{""0"": 112302, ""1"": 202412, ""2"": 201420, ""3"": 205201, ""4"": 204419}"
65679601,80,19,0,8530,128,1,"{""0"": 107501, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204508}"
65679601,80,19,3794,8688,-54,7,"{""0"": 107403, ""1"": 202411, ""2"": 201414, ""3"": 203414, ""4"": 204304}"
65679601,88,3,0,9013,-39,6,"{""0"": 108403, ""1"": 202416, ""2"": 201406, ""3"": 205401, ""4"": 204407}"
65679601,25,11,88,8628,-13,2,"{""0"": 118404, ""1"": 202529, ""2"": 201502, ""3"": 205408, ""4"": 204507}"
65679357,71,14,46610,8903,-12,3,"{""0"": 105408, ""1"": 202521, ""2"": 201527, ""3"": 203404, ""4"": 204413}"
65679357,28,3,11510,8559,-49,6,"{""0"": 108501, ""1"": 202514, ""2"": 201405, ""3"": 203306, ""4"": 204419}"
65679357,69,9,0,9039,38,4,"{""0"": 116404, ""1"": 202104, ""2"": 201528, ""3"": 203411, ""4"": 204406}"
65679357,88,3,48120,8546,-49,6,"{""0"": 108403, ""1"": 202422, ""2"": 201537, ""3"": 203414, ""4"": 204403}"
65679357,78,16,0,8641,-10,3,"{""0"": 102412, ""1"": 202505, ""2"": 201521, ""3"": 203503, ""4"": 204402}"
65679357,7,2,22622,8986,-62,7,"{""0"": 111402, ""1"": 202419, ""2"": 201409, ""3"": 203403, ""4"": 204419}"
65679357,31,7,5212,8762,-60,7,"{""0"": 114401, ""1"": 202418, ""2"": 201404, ""3"": 205501, ""4"": 204416}"
65679357,89,9,18509,10913,-69,6,"{""0"": 116406, ""1"": 202514, ""2"": 201422, ""3"": 203506, ""4"": 204419}"
65679357,34,23,14299,9425,-44,5,"{""0"": 122504, ""1"": 202508, ""2"": 201503, ""3"": 205508, ""4"": 204410}"
65679357,19,6,42930,9141,22,2,"{""0"": 113411, ""1"": 202209, ""2"": 201533, ""3"": 705619, ""4"": 204505}"
65679357,64,24,6398,8559,-36,5,"{""0"": 130501, ""1"": 202503, ""2"": 201526, ""3"": 203507, ""4"": 204406}"
65679357,49,19,0,8815,40,4,"{""0"": 107402, ""1"": 202505, ""2"": 201525, ""3"": 205305, ""4"": 204510}"
65679357,65,16,10311,9208,98,1,"{""0"": 102504, ""1"": 202524, ""2"": 201501, ""3"": 203509, ""4"": 204514}"
65679357,35,1,16853,8643,102,1,"{""0"": 110412, ""1"": 202521, ""2"": 201527, ""3"": 203503, ""4"": 204508}"
65679357,15,6,0,8946,100,1,"{""0"": 113412, ""1"": 202511, ""2"": 201503, ""3"": 203501, ""4"": 204505}"
65679357,70,6,0,8881,24,2,"{""0"": 113502, ""1"": 202504, ""2"": 201525, ""3"": 203514, ""4"": 204504}"
65679357,88,3,0,9075,-62,7,"{""0"": 108403, ""1"": 202410, ""2"": 201406, ""3"": 205401, ""4"": 204402}"
65679357,90,11,0,8743,26,2,"{""0"": 118501, ""1"": 202501, ""2"": 201526, ""3"": 705619, ""4"": 204410}"
65679357,58,10,8193,9233,-14,3,"{""0"": 117502, ""1"": 202511, ""2"": 201526, ""3"": 205502, ""4"": 204410}"
65679357,22,3,25555,8923,38,4,"{""0"": 108504, ""1"": 202515, ""2"": 201525, ""3"": 705614, ""4"": 204509}"
65679357,22,3,48059,8848,-38,5,"{""0"": 108505, ""1"": 202407, ""2"": 201508, ""3"": 203513, ""4"": 204402}"
65678859,71,14,46610,8918,-15,5,"{""0"": 105408, ""1"": 202524, ""2"": 201527, ""3"": 203404, ""4"": 204514}"
65678859,28,3,11573,8526,33,2,"{""0"": 104405, ""1"": 202508, ""2"": 201526, ""3"": 203512, ""4"": 204410}"
65678859,31,7,0,9353,-56,7,"{""0"": 114504, ""1"": 202523, ""2"": 201518, ""3"": 205501, ""4"": 204416}"
65678859,79,8,8007,8726,36,4,"{""0"": 115504, ""1"": 202511, ""2"": 201503, ""3"": 203510, ""4"": 204101}"
65678859,72,11,0,10900,13,2,"{""0"": 118701, ""1"": 202523, ""2"": 201525, ""3"": 203509, ""4"": 204504}"
65678859,14,21,33736,8799,156,1,"{""0"": 120702, ""1"": 202526, ""2"": 201503, ""3"": 205504, ""4"": 204405}"
65678859,54,8,0,8555,-13,3,"{""0"": 115405, ""1"": 202503, ""2"": 201405, ""3"": 203413, ""4"": 204418}"
65678859,18,15,2792,8586,-33,6,"{""0"": 101501, ""1"": 202501, ""2"": 201526, ""3"": 205507, ""4"": 204410}"
65678859,75,22,13051,9165,-19,3,"{""0"": 121403, ""1"": 202511, ""2"": 201503, ""3"": 205201, ""4"": 204505}"
65678859,78,16,39966,8854,-15,5,"{""0"": 102504, ""1"": 202505, ""2"": 201418, ""3"": 203503, ""4"": 204502}"
65678859,17,5,0,8632,-50,7,"{""0"": 112501, ""1"": 202511, ""2"": 201503, ""3"": 203403, ""4"": 204410}"
65678859,80,19,18582,8727,156,1,"{""0"": 107501, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204414}"
65678859,76,3,1911,8526,33,2,"{""0"": 104405, ""1"": 202522, ""2"": 201528, ""3"": 205601, ""4"": 204501}"
65678859,49,19,0,8779,36,4,"{""0"": 107402, ""1"": 202505, ""2"": 201421, ""3"": 203502, ""4"": 204509}"
65678859,66,24,14456,8656,-13,5,"{""0"": 130404, ""1"": 202526, ""2"": 205503, ""3"": 203501, ""4"": 204410}"
65678859,7,2,9268,8866,154,1,"{""0"": 111501, ""1"": 202508, ""2"": 201503, ""3"": 705619, ""4"": 204501}"
65678859,20,4,205,8542,-48,7,"{""0"": 109405, ""1"": 202417, ""2"": 201524, ""3"": 203402, ""4"": 204401}"
65678859,31,7,8693,8770,-35,6,"{""0"": 114504, ""1"": 202504, ""2"": 201518, ""3"": 205501, ""4"": 204504}"
65678859,88,3,0,9114,-39,6,"{""0"": 108505, ""1"": 202416, ""2"": 201415, ""3"": 205401, ""4"": 204402}"
65678859,90,11,0,8758,-15,3,"{""0"": 118501, ""1"": 202419, ""2"": 201526, ""3"": 705619, ""4"": 204419}"
65678859,22,3,25555,8889,34,4,"{""0"": 108504, ""1"": 202515, ""2"": 201502, ""3"": 705614, ""4"": 204418}"
65678384,7,1,0,8941,-11,3,"{""0"": 110501, ""1"": 202521, ""2"": 201528, ""3"": 203404, ""4"": 204407}"
65678384,18,15,0,8593,4,4,"{""0"": 101501, ""1"": 202503, ""2"": 201526, ""3"": 705619, ""4"": 204506}"
65678384,39,21,13319,9393,55,1,"{""0"": 120405, ""1"": 202505, ""2"": 201421, ""3"": 203415, ""4"": 204418}"
65678384,70,6,0,10971,-71,6,"{""0"": 113502, ""2"": 201525, ""4"": 204504}"
65678384,82,21,2129,9149,63,2,"{""0"": 120405, ""1"": 202515, ""2"": 201529, ""3"": 705614, ""4"": 204514}"
65678384,72,11,3959,8654,61,1,"{""0"": 118502, ""1"": 202510, ""2"": 201518, ""3"": 205501, ""4"": 204416}"
65678384,61,5,0,8894,-11,3,"{""0"": 112503, ""1"": 202503, ""2"": 201526, ""3"": 205505, ""4"": 204513}"
65678384,2,10,32981,8661,-9,3,"{""0"": 117406, ""1"": 202506, ""2"": 201502, ""3"": 205408, ""4"": 204504}"
65678384,59,2,0,8532,-51,6,"{""0"": 111406, ""1"": 202422, ""2"": 201501, ""3"": 205308, ""4"": 204417}"
65678384,79,8,0,8746,-56,7,"{""0"": 115504, ""1"": 202501, ""2"": 201503, ""3"": 203403, ""4"": 204415}"
65678384,9,9,0,8540,63,1,"{""0"": 116404, ""1"": 202511, ""2"": 201519, ""3"": 203501, ""4"": 204410}"
65678384,28,3,47459,8535,-51,6,"{""0"": 104405, ""1"": 202307, ""2"": 201409, ""3"": 705619, ""4"": 204406}"
65678384,43,5,0,9243,-60,7,"{""0"": 112501, ""1"": 202501, ""2"": 201503, ""3"": 203510, ""4"": 204410}"
65678384,80,19,3794,9167,-2,4,"{""0"": 107403, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204414}"
65678384,78,16,39966,8854,0,4,"{""0"": 102504, ""1"": 202505, ""2"": 201501, ""3"": 203503, ""4"": 204503}"
65678384,20,4,205,8641,-9,5,"{""0"": 109405, ""3"": 705601, ""4"": 204401}"
65678384,33,1,355,8821,67,2,"{""0"": 110504, ""1"": 202518, ""2"": 201423, ""3"": 705619, ""4"": 204413}"
65678384,79,8,8007,9090,-11,5,"{""0"": 115504, ""1"": 202209, ""2"": 201503, ""3"": 203510, ""4"": 204414}"
65678384,11,18,0,8578,-54,7,"{""0"": 103501, ""1"": 202524, ""2"": 201527, ""3"": 203404, ""4"": 204417}"
65678384,72,11,3959,8878,-11,5,"{""0"": 118502, ""1"": 202510, ""2"": 202528, ""3"": 205501, ""4"": 204507}"
65678384,65,16,0,8558,-56,8,"{""0"": 102406, ""1"": 202524, ""2"": 201419, ""3"": 205309, ""4"": 204402}"
65678384,19,6,49394,8630,67,2,"{""0"": 113411, ""1"": 202209, ""2"": 201533, ""3"": 705608, ""4"": 204410}"
65678384,80,19,44413,8709,-58,8,"{""0"": 107403, ""1"": 202422, ""2"": 201414, ""3"": 203513, ""4"": 204403}"
65678384,87,24,1962,9276,-62,8,"{""0"": 130401, ""1"": 202503, ""2"": 201409, ""3"": 203512, ""4"": 204406}"
65677870,7,1,0,8863,78,1,"{""0"": 110501, ""1"": 202521, ""2"": 701451, ""3"": 203404, ""4"": 204407}"
65677870,81,9,13851,8568,-33,5,"{""0"": 116404, ""1"": 202419, ""2"": 201526, ""3"": 203501, ""4"": 204419}"
65677870,79,8,8007,8879,-47,6,"{""0"": 115406, ""1"": 202511, ""2"": 201503, ""3"": 205201, ""4"": 204406}"
65677870,31,7,0,10930,41,2,"{""0"": 114701, ""1"": 202504, ""2"": 201518, ""3"": 205501, ""4"": 204504}"
65677870,63,15,16052,8859,-22,3,"{""0"": 101502, ""1"": 202512, ""2"": 201535, ""3"": 205401, ""4"": 204501}"
65677870,65,16,0,8924,-60,8,"{""0"": 102407, ""1"": 202420, ""2"": 201419, ""3"": 205308, ""4"": 204403}"
65677870,51,22,0,9173,-24,3,"{""0"": 121503, ""1"": 202501, ""2"": 201416, ""3"": 203507, ""4"": 204410}"
65677870,46,16,0,9064,-47,6,"{""0"": 102412, ""1"": 202406, ""2"": 201501, ""3"": 205407, ""4"": 204402}"
65677870,75,22,0,8768,-22,4,"{""0"": 121503, ""1"": 202511, ""2"": 201519, ""3"": 203510, ""4"": 204415}"
65677870,28,3,47459,8553,-18,3,"{""0"": 104405, ""1"": 202502, ""2"": 205503, ""3"": 705619, ""4"": 204513}"
65677870,75,22,13051,9089,78,1,"{""0"": 121702, ""1"": 202502, ""2"": 201533, ""3"": 203510, ""4"": 204410}"
65677870,78,16,39966,8965,-60,8,"{""0"": 102406, ""1"": 202420, ""2"": 201418, ""3"": 205304, ""4"": 204411}"
65677870,37,15,0,8760,-35,5,"{""0"": 101502, ""1"": 202515, ""2"": 201408, ""3"": 203514, ""4"": 204504}"
65677870,80,19,0,8641,-45,6,"{""0"": 107403, ""1"": 202530, ""2"": 201523, ""3"": 203513, ""4"": 204508}"
65677870,8,22,2801,9116,-26,4,"{""0"": 121504, ""1"": 202529, ""2"": 201521, ""3"": 205501, ""4"": 204504}"
65677870,44,25,0,9173,-39,5,"{""0"": 131501, ""1"": 202525, ""2"": 201525, ""3"": 205305, ""4"": 204504}"
65677870,11,18,0,8517,61,2,"{""0"": 103402, ""1"": 202505, ""2"": 201527, ""3"": 203408, ""4"": 204508}"
65677870,40,6,2899,8539,-58,7,"{""0"": 113410, ""1"": 202405, ""2"": 201417, ""3"": 205501, ""4"": 204418}"
65677870,20,4,205,8507,61,2,"{""0"": 109503, ""1"": 202407, ""2"": 201524, ""3"": 205601, ""4"": 204512}"
65677870,83,6,31394,8613,-22,4,"{""0"": 113405, ""1"": 202508, ""2"": 201522, ""3"": 705619, ""4"": 204506}"
65677870,80,19,44413,8629,80,1,"{""0"": 107402, ""1"": 202530, ""2"": 201415, ""3"": 203513, ""4"": 204508}"
65677870,76,3,1911,8766,-60,7,"{""0"": 108501, ""1"": 202522, ""2"": 201413, ""3"": 203402, ""4"": 204401}"
65677870,12,6,13893,9196,-64,7,"{""0"": 113406, ""1"": 202307, ""2"": 201503, ""3"": 203410, ""4"": 204419}"
65677870,10,1,8172,8642,-58,8,"{""0"": 110405, ""1"": 202406, ""2"": 201527, ""3"": 203415, ""4"": 204408}"
65667432,7,2,22622,9040,1,3,"{""0"": 111501, ""2"": 201409, ""3"": 203510, ""4"": 204419}"
65667432,21,9,0,10950,-20,5,"{""0"": 116410, ""1"": 202405, ""2"": 201518, ""3"": 203502, ""4"": 204502}"
65667432,90,11,0,9426,-61,6,"{""0"": 118505, ""1"": 202503, ""2"": 201405, ""3"": 203306, ""4"": 204419}"
65667432,53,14,35,8521,0,5,"{""0"": 105408, ""1"": 202407, ""2"": 201537, ""3"": 205309, ""4"": 204303}"
65667432,52,24,105,8894,-45,8,"{""0"": 130404, ""1"": 202511, ""2"": 201503, ""3"": 203410, ""4"": 204419}"
65667432,44,25,21409,9021,-2,4,"{""0"": 131501, ""1"": 202523, ""2"": 201525, ""3"": 203514, ""4"": 204501}"
65667432,78,16,39966,9010,-45,8,"{""0"": 102504, ""1"": 202505, ""2"": 201418, ""3"": 205304, ""4"": 204411}"
65667432,8,22,2801,9140,-59,6,"{""0"": 121404, ""1"": 202418, ""2"": 201417, ""3"": 205501, ""4"": 204408}"
65667432,44,25,9436,9288,-60,7,"{""0"": 131402, ""1"": 202408, ""2"": 201537, ""3"": 705607, ""4"": 204409}"
65667432,24,3,3815,9081,78,1,"{""0"": 108702, ""1"": 202503, ""2"": 201533, ""3"": 205504, ""4"": 204410}"
65667432,17,5,7911,8988,-58,7,"{""0"": 112407, ""1"": 202511, ""2"": 201503, ""3"": 203403, ""4"": 204406}"
65667432,23,18,5569,10133,61,2,"{""0"": 103702, ""1"": 202503, ""2"": 201520, ""3"": 205505, ""4"": 204506}"
65667432,89,9,18509,9566,-3,3,"{""0"": 116403, ""1"": 202514, ""2"": 201422, ""3"": 705619, ""4"": 204512}"
65667432,86,1,5374,8610,3,3,"{""0"": 110412, ""1"": 202411, ""2"": 201529, ""3"": 203513, ""4"": 204417}"
65667432,89,9,4129,8557,75,2,"{""0"": 116502, ""1"": 202209, ""2"": 201526, ""3"": 203510, ""4"": 204513}"
65667432,65,16,9451,8692,73,2,"{""0"": 102409, ""1"": 202407, ""2"": 201501, ""3"": 203509, ""4"": 204502}"
65667432,63,15,33036,8662,-55,6,"{""0"": 101502, ""1"": 202521, ""2"": 201304, ""3"": 205308, ""4"": 204417}"
65667432,53,14,35,8938,-2,4,"{""0"": 105408, ""1"": 202407, ""2"": 201537, ""3"": 705607, ""4"": 204303}"
65667432,64,24,0,8968,78,1,"{""0"": 130501, ""1"": 202503, ""2"": 201526, ""3"": 705619, ""4"": 204505}"
65667432,70,6,9394,8931,-58,7,"{""0"": 113502, ""1"": 202420, ""2"": 201404, ""3"": 205501, ""4"": 204418}"
65667432,16,9,0,9197,76,1,"{""0"": 116702, ""1"": 202514, ""2"": 201503, ""3"": 205505, ""4"": 204513}"
65667432,37,15,0,8604,-2,5,"{""0"": 101407, ""1"": 202515, ""2"": 201411, ""3"": 203514, ""4"": 204408}"
65667432,70,6,9394,9239,-4,4,"{""0"": 113502, ""1"": 202525, ""2"": 201502, ""3"": 205501, ""4"": 204504}"
65667432,71,14,8519,9289,-47,8,"{""0"": 105405, ""1"": 202411, ""2"": 201524, ""3"": 203408, ""4"": 204417}"
65665862,82,21,2711,0,0,6,"{""0"": 120405, ""1"": 202505, ""2"": 201527, ""3"": 203408, ""4"": 204417}"
65665862,19,6,28071,0,0,4,"{""0"": 113411, ""1"": 202514, ""2"": 205503, ""3"": 203403, ""4"": 204410}"
65665862,37,15,0,0,0,5,"{""0"": 101407, ""1"": 202405, ""2"": 201414, ""3"": 203514, ""4"": 204504}"
65665862,18,15,2792,0,0,3,"{""0"": 101503, ""1"": 202526, ""2"": 201526, ""3"": 705608, ""4"": 204513}"
65665862,83,6,8035,0,0,7,"{""0"": 113405, ""1"": 202419, ""2"": 201422, ""3"": 705619, ""4"": 204406}"
65665862,87,24,0,0,0,1,"{""0"": 130701, ""1"": 202503, ""2"": 201519, ""3"": 205507, ""4"": 204505}"
65665862,48,3,23223,0,0,5,"{""0"": 108506, ""1"": 202412, ""2"": 201503, ""3"": 203306, ""4"": 204419}"
65665862,72,11,3959,0,0,1,"{""0"": 118701, ""1"": 202510, ""2"": 202528, ""3"": 205501, ""4"": 204507}"
65665862,69,9,700,0,0,6,"{""0"": 116404, ""1"": 202404, ""2"": 201413, ""3"": 203411, ""4"": 204412}"
65665862,59,2,7799,0,0,5,"{""0"": 111406, ""1"": 202420, ""2"": 201501, ""3"": 203414, ""4"": 204417}"
65665862,86,1,3925,0,0,6,"{""0"": 110412, ""1"": 202530, ""2"": 201527, ""3"": 203513, ""4"": 204403}"
65665862,31,7,5212,0,0,3,"{""0"": 114701, ""1"": 202529, ""2"": 201518, ""3"": 205501, ""4"": 204507}"
65665862,86,1,3925,0,0,3,"{""0"": 110412, ""1"": 202530, ""2"": 201527, ""3"": 203513, ""4"": 204403}"
65665862,69,9,700,0,0,2,"{""0"": 116404, ""1"": 202516, ""2"": 705620, ""3"": 203515, ""4"": 204506}"
65665862,71,14,1757,0,0,2,"{""0"": 105408, ""1"": 202524, ""2"": 201527, ""3"": 203508, ""4"": 204514}"
65665862,21,9,4210,0,0,4,"{""0"": 116410, ""1"": 202529, ""2"": 201421, ""3"": 203502, ""4"": 204507}"
65665862,20,4,25784,0,0,4,"{""0"": 109405, ""1"": 202417, ""2"": 201524, ""3"": 203505, ""4"": 204401}"
65665862,88,3,0,0,0,2,"{""0"": 108505, ""1"": 202531, ""2"": 201537, ""3"": 705607, ""4"": 204514}"
65665862,80,19,3794,0,0,7,"{""0"": 107403, ""1"": 202411, ""2"": 201414, ""3"": 705614, ""4"": 204304}"
65665862,81,9,7,0,0,1,"{""0"": 116503, ""1"": 202508, ""2"": 201526, ""3"": 203512, ""4"": 204410}"
65665862,88,3,4808,0,0,7,"{""0"": 108404, ""1"": 202507, ""2"": 201419, ""3"": 205309, ""4"": 204412}"
65664733,22,3,48059,0,0,5,"{""0"": 108404, ""1"": 202422, ""2"": 201403, ""3"": 203513, ""4"": 204402}"
65664733,75,22,14883,0,0,3,"{""0"": 121503, ""1"": 202511, ""2"": 201409, ""3"": 203510, ""4"": 204415}"
65664733,21,9,0,0,0,3,"{""0"": 116410, ""1"": 202529, ""2"": 201518, ""3"": 203502, ""4"": 204507}"
65664733,80,19,3794,0,0,2,"{""0"": 107501, ""1"": 202515, ""2"": 201408, ""3"": 705614, ""4"": 204414}"
65664733,33,1,355,0,0,6,"{""0"": 110406, ""1"": 202104, ""2"": 201422, ""3"": 705619, ""4"": 204406}"
65664733,77,24,5526,0,0,6,"{""0"": 130501, ""1"": 202501, ""2"": 201526, ""3"": 203410, ""4"": 204406}"
65664733,90,11,29403,0,0,7,"{""0"": 118505, ""1"": 202503, ""2"": 201423, ""3"": 203410, ""4"": 204419}"
